
[Name]
Plane 3

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.79999993e-04, 2.99999992e-05, -1.80000003e-04, 1.78013787e-01, 9.23788291e-04, 6.54240721e-04
5.79999993e-04, 2.99999992e-05, -1.69999999e-04, 2.41210848e-01, 1.11806067e-03, 1.11784844e-03
5.79999993e-04, 1.99999995e-05, -1.80000003e-04, 1.32990867e-01, 5.18045796e-04, 5.17977460e-04
5.79999993e-04, 1.99999995e-05, -1.69999999e-04, 1.78013772e-01, 6.54354459e-04, 9.23628744e-04
5.79999993e-04, 9.99999975e-06, -1.80000003e-04, 7.54239783e-02, 9.39505044e-05, 3.06156348e-04
5.79999993e-04, 9.99999975e-06, -1.69999999e-04, 9.90990847e-02, 1.57516188e-04, 5.88690396e-04
5.79999993e-04, 2.99999992e-05, -1.90000006e-04, 9.90990326e-02, 5.88797382e-04, 1.57485847e-04
5.79999993e-04, 1.99999995e-05, -1.90000006e-04, 7.54239634e-02, 3.06199101e-04, 9.39198871e-05
5.79999993e-04, 9.99999975e-06, -1.90000006e-04, 4.41964231e-02, 2.39188066e-05, 2.38969042e-05
5.79999993e-04, 0.00000000e+00, -1.69999999e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 0.00000000e+00, -1.80000003e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 0.00000000e+00, -1.90000006e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 0.00000000e+00, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 9.99999975e-06, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 1.99999995e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 2.99999992e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 4.99999987e-05, -1.80000003e-04, 2.41230756e-01, 1.35167630e-03, 8.59037566e-04
5.79999993e-04, 4.99999987e-05, -1.69999999e-04, 3.31353158e-01, 1.59055961e-03, 1.38614932e-03
5.79999993e-04, 3.99999990e-05, -1.80000003e-04, 2.13492632e-01, 1.23524806e-03, 7.63196615e-04
5.79999993e-04, 3.99999990e-05, -1.69999999e-04, 2.91642070e-01, 1.46491604e-03, 1.26092299e-03
5.79999993e-04, 4.99999987e-05, -1.90000006e-04, 1.31845042e-01, 8.93285207e-04, 2.66283023e-04
5.79999993e-04, 3.99999990e-05, -1.90000006e-04, 1.17524363e-01, 8.09759018e-04, 2.15768232e-04
5.79999993e-04, 3.99999990e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 4.99999987e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 2.99999992e-05, -1.59999996e-04, 2.91641980e-01, 1.26117503e-03, 1.46459776e-03
5.79999993e-04, 2.99999992e-05, -1.50000007e-04, 3.31352949e-01, 1.38637086e-03, 1.59012829e-03
5.79999993e-04, 1.99999995e-05, -1.59999996e-04, 2.13492587e-01, 7.63284741e-04, 1.23495108e-03
5.79999993e-04, 1.99999995e-05, -1.50000007e-04, 2.41230682e-01, 8.59121501e-04, 1.35132391e-03
5.79999993e-04, 9.99999975e-06, -1.59999996e-04, 1.17524423e-01, 2.15769862e-04, 8.09569028e-04
5.79999993e-04, 9.99999975e-06, -1.50000007e-04, 1.31845087e-01, 2.66311603e-04, 8.93099350e-04
5.79999993e-04, 0.00000000e+00, -1.50000007e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 0.00000000e+00, -1.59999996e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 4.99999987e-05, -1.59999996e-04, 4.04668272e-01, 1.75403792e-03, 1.76731334e-03
5.79999993e-04, 4.99999987e-05, -1.50000007e-04, 4.63144004e-01, 1.89756497e-03, 1.89723587e-03
5.79999993e-04, 3.99999990e-05, -1.59999996e-04, 3.54683310e-01, 1.62626733e-03, 1.62596069e-03
5.79999993e-04, 3.99999990e-05, -1.50000007e-04, 4.04668152e-01, 1.76757632e-03, 1.75361987e-03
5.79999993e-04, 7.99999980e-05, -1.80000003e-04, 2.88941324e-01, 7.98039022e-04, 1.07702089e-03
5.79999993e-04, 7.99999980e-05, -1.69999999e-04, 4.00027037e-01, 9.36378492e-04, 1.67536980e-03
5.79999993e-04, 7.00000019e-05, -1.80000003e-04, 2.78179228e-01, 1.10436894e-03, 1.02055853e-03
5.79999993e-04, 7.00000019e-05, -1.69999999e-04, 3.84508759e-01, 1.29509496e-03, 1.59941148e-03
5.79999993e-04, 5.99999985e-05, -1.80000003e-04, 2.62492508e-01, 1.30155729e-03, 9.46297194e-04
5.79999993e-04, 5.99999985e-05, -1.69999999e-04, 3.61913502e-01, 1.52684771e-03, 1.50081608e-03
5.79999993e-04, 7.99999980e-05, -1.90000006e-04, 1.56385347e-01, 5.28235105e-04, 3.81002872e-04
5.79999993e-04, 7.00000019e-05, -1.90000006e-04, 1.50855750e-01, 7.31710112e-04, 3.51562368e-04
5.79999993e-04, 5.99999985e-05, -1.90000006e-04, 1.42791048e-01, 8.62415764e-04, 3.12425458e-04
5.79999993e-04, 5.99999985e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 7.00000019e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 7.99999980e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 1.10000001e-04, -1.80000003e-04, 2.95222670e-01, -4.17772535e-04, 1.11209229e-03
5.79999993e-04, 1.10000001e-04, -1.69999999e-04, 4.09090489e-01, -4.90195293e-04, 1.72293372e-03
5.79999993e-04, 9.99999975e-05, -1.80000003e-04, 2.97287077e-01, 1.78463146e-08, 1.12409808e-03
5.79999993e-04, 9.99999975e-05, -1.69999999e-04, 4.12070394e-01, 3.15618038e-08, 1.73910975e-03
5.79999993e-04, 9.00000014e-05, -1.80000003e-04, 2.95222729e-01, 4.17814386e-04, 1.11206539e-03
5.79999993e-04, 9.00000014e-05, -1.69999999e-04, 4.09090489e-01, 4.90259496e-04, 1.72291941e-03
5.79999993e-04, 1.10000001e-04, -1.90000006e-04, 1.59611434e-01, -2.76131846e-04, 3.99347075e-04
5.79999993e-04, 9.99999975e-05, -1.90000006e-04, 1.60671368e-01, 1.26156987e-08, 4.05855128e-04
5.79999993e-04, 9.00000014e-05, -1.90000006e-04, 1.59611434e-01, 2.76155304e-04, 3.99341981e-04
5.79999993e-04, 9.00000014e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 9.99999975e-05, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 1.10000001e-04, -1.99999995e-04, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
5.79999993e-04, 7.99999980e-05, -1.59999996e-04, 4.91612643e-01, 1.02971657e-03, 2.10019597e-03
5.79999993e-04, 7.99999980e-05, -1.50000007e-04, 5.65389693e-01, 1.11267215e-03, 2.24103429e-03
5.79999993e-04, 7.00000019e-05, -1.59999996e-04, 4.71925110e-01, 1.42378057e-03, 2.01217947e-03
5.79999993e-04, 7.00000019e-05, -1.50000007e-04, 5.42194605e-01, 1.53762626e-03, 2.14960310e-03
5.79999993e-04, 5.99999985e-05, -1.59999996e-04, 4.43295568e-01, 1.67921744e-03, 1.89832668e-03
5.79999993e-04, 5.99999985e-05, -1.50000007e-04, 5.08503258e-01, 1.81341288e-03, 2.03188881e-03
5.79999993e-04, 1.10000001e-04, -1.59999996e-04, 5.03117502e-01, -5.39211964e-04, 2.15536659e-03
5.79999993e-04, 1.10000001e-04, -1.50000007e-04, 5.78950763e-01, -5.82875917e-04, 2.29856092e-03
5.79999993e-04, 9.99999975e-05, -1.59999996e-04, 5.06900787e-01, 4.19840624e-08, 2.17408012e-03
5.79999993e-04, 9.99999975e-05, -1.50000007e-04, 5.83410800e-01, 4.86032121e-08, 2.31811940e-03
5.79999993e-04, 9.00000014e-05, -1.59999996e-04, 5.03117561e-01, 5.39280300e-04, 2.15533003e-03
5.79999993e-04, 9.00000014e-05, -1.50000007e-04, 5.78950763e-01, 5.82957349e-04, 2.29854160e-03
